T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-1.473	-4.219	-4.190	-5.107	97.494	168.827	46.357	53.421
-2.322	-1.516	-3.162	-0.975	259.917	130.953	196.236	151.029
-1.843	-4.215	-4.042	-5.275	60.193	155.868	44.164	51.996
-69.736	-8.820	-7.684	-9.566	37.386	33.736	141.391	157.054
-3.540	-4.642	-4.435	-7.223	77.322	50.099	33.479	77.604
-2.614	-5.483	-4.357	-6.010	57.994	103.275	47.177	88.517
-1.237	-2.080	-2.185	-4.208	116.915	151.310	113.647	222.771
-2.904	-4.806	-3.239	-6.148	59.389	80.857	32.986	21.629
-5.212	-6.973	-5.934	-8.797	89.426	105.427	34.098	69.452
-1.345	-3.432	-3.438	-5.043	131.935	129.926	164.693	234.239
-1.061	-2.908	-1.848	-4.628	134.142	87.332	164.396	265.914
-1.649	-3.767	-2.867	-4.893	74.506	149.277	74.578	119.823
-7.811	-10.425	-9.275	-11.906	100.249	118.107	27.667	19.313
-1.855	-3.909	-3.346	-5.964	69.070	128.763	192.550	369.285
-2.385	-5.300	-4.473	-6.739	41.732	119.297	99.170	178.826
-3.170	-6.074	-5.750	-5.756	69.495	102.746	94.682	93.261
-2.266	-4.424	-3.816	-6.120	78.252	85.750	189.172	275.993
-1.103	-3.723	-2.056	-4.894	152.210	221.940	236.031	316.461
-1.117	-3.665	-2.725	-5.377	133.374	247.748	145.356	309.068
-9.216	-11.702	-10.959	-13.079	26.466	35.646	175.327	274.686
-62.640	-64.980	-1.099	-0.617	67.966	81.410	238.501	240.232
-1.412	-4.141	-3.057	-4.564	97.391	159.692	111.278	131.581
-0.953	-2.943	-1.621	-3.110	175.946	260.944	67.778	178.809
-3.721	-2.949	-4.375	-5.112	426.607	225.304	53.101	55.823
-7.344	-9.462	-8.739	-11.588	23.431	35.786	86.596	149.166
-1.301	-3.465	-2.903	-5.014	110.930	137.055	41.402	76.063
-1.908	-1.764	-2.475	-5.080	61.058	40.628	289.514	467.879
-0.897	-3.158	-2.640	-3.125	203.995	374.718	123.259	135.953
-1.580	-3.253	-2.394	-5.456	78.488	57.240	146.248	257.724
-1.582	-3.507	-2.998	-4.921	116.781	97.500	74.352	146.438
-1.589	-3.675	-3.025	-5.221	96.984	110.490	61.417	63.382
-1.146	-4.306	-2.682	-5.292	199.571	394.728	46.262	94.339
-7.714	-8.479	-10.473	-10.726	38.350	34.293	56.577	69.615
-1.316	-4.307	-3.359	-4.755	68.642	145.964	110.907	144.460
-13.036	-14.750	-13.538	-16.057	27.271	35.276	77.132	154.931
-5.130	-6.917	-6.733	-8.689	52.052	76.256	109.758	181.797
-1.741	-4.242	-3.697	-5.346	36.608	85.607	174.777	261.534
-1.279	-3.423	-2.614	-4.865	88.479	112.391	177.939	286.909
-5.932	-7.722	-7.112	-49.898	65.212	84.156	25.276	30.802
-2.509	-1.285	-3.343	-0.741	261.341	133.067	423.021	311.403
-1.604	-3.467	-2.446	-5.070	78.953	115.648	147.977	271.687
-1.526	-3.204	-2.211	-5.279	83.592	57.902	68.099	154.728
-10.143	-11.779	-10.395	-14.136	60.304	75.048	33.756	78.178
-1.841	-3.124	-2.846	-5.287	96.223	31.485	164.450	317.450
-1.829	-3.070	-3.574	-5.894	55.458	53.857	75.202	156.783
-2.384	-5.194	-4.322	-6.225	71.139	92.872	145.689	215.213
-2.077	-5.305	-4.056	-5.465	59.283	67.143	143.080	229.280
-3.750	-6.617	-4.948	-7.145	57.117	91.138	37.045	48.852
-1.322	-4.346	-4.162	-5.068	80.651	121.016	130.928	190.004
-4.075	-6.917	-5.498	-6.953	42.691	79.976	176.790	257.597
-1.165	-1.993	-1.950	-4.089	119.010	103.144	138.144	297.982
-3.652	-5.562	-4.739	-7.266	60.776	81.945	98.776	149.375
-2.562	-5.478	-5.104	-6.768	61.303	62.324	54.211	92.897
-2.163	-4.410	-3.886	-5.682	66.585	106.335	57.053	60.638
-4.603	-6.106	-5.503	-7.424	37.233	67.356	186.377	231.846
-2.630	-5.067	-4.092	-5.618	77.787	193.195	34.649	32.979
-1.299	-3.675	-3.307	-4.748	76.937	111.272	31.988	38.906
-1.908	-3.339	-3.126	-5.296	75.597	114.076	52.357	97.503
-2.227	-4.360	-2.705	-6.174	50.969	55.119	22.415	42.066
-4.505	-6.629	-5.976	-8.074	241.419	271.670	44.878	48.926
-59.778	-4.701	-4.594	-6.005	45.176	49.211	153.484	285.544
-1.942	-5.127	-4.157	-5.705	42.527	83.823	158.910	215.371
-6.943	-7.843	-6.896	-10.037	47.505	32.699	56.390	122.658
-2.169	-4.893	-4.307	-5.275	79.445	102.640	50.240	87.634
-2.324	-5.051	-4.353	-5.863	50.138	54.532	115.338	179.416
-1.240	-2.474	-2.394	-4.682	100.220	135.561	113.757	173.652
-3.347	-3.118	-5.380	-3.822	119.264	64.146	603.533	525.550
-6.864	-7.744	-7.225	-10.244	41.018	37.838	133.342	295.447
-2.686	-4.653	-3.875	-5.930	79.632	111.857	174.582	352.000
-11.719	-14.116	-13.319	-15.822	37.658	56.108	41.616	57.759
-4.504	-7.023	-5.343	-8.355	66.189	55.228	32.540	42.115
-3.431	-5.471	-5.169	-6.577	68.034	66.199	91.908	159.326
-1.751	-3.313	-2.826	-5.290	79.276	104.098	112.252	92.535
-1.419	-4.075	-3.858	-4.790	99.598	110.617	91.842	127.643
-1.278	-2.598	-2.429	-5.088	135.559	124.793	105.677	203.318
-1.734	-3.014	-2.833	-5.615	87.988	126.685	171.241	347.302
-2.661	-4.806	-4.113	-5.449	67.383	118.266	27.453	41.594
-1.688	-3.500	-2.431	-5.315	62.923	105.377	66.795	83.964
-3.018	-4.887	-4.175	-6.744	57.956	43.294	132.229	292.281
-0.971	-2.994	-1.196	-4.206	173.804	238.084	137.541	178.885
-1.686	-3.440	-2.824	-4.962	81.885	88.314	154.968	230.258
-1.093	-2.184	-2.161	-4.443	171.858	138.067	39.811	111.420
-7.673	-9.661	-9.233	-10.973	32.984	50.034	51.588	79.054
-1.913	-4.318	-3.657	-4.910	72.916	102.677	183.970	224.391
-4.104	-6.434	-4.787	-7.209	117.279	128.155	31.645	90.103
-1.363	-4.594	-3.460	-5.023	90.017	143.821	118.145	202.851
-3.988	-5.294	-5.048	-5.713	368.207	433.480	41.192	54.612
-1.631	-3.628	-3.667	-5.246	86.747	110.478	160.120	274.433
-1.281	-4.192	-3.482	-4.825	89.685	146.229	223.210	314.390
-1.394	-3.271	-2.068	-5.100	116.340	131.167	108.680	180.496
-37.788	-40.967	-0.891	-3.426	85.547	137.705	195.599	332.266
-5.128	-6.227	-5.242	-7.139	125.602	162.957	30.842	40.390
-7.503	-9.164	-8.053	-11.344	37.602	33.534	170.205	316.879
-1.830	-2.875	-3.264	-5.196	31.697	36.813	181.446	299.710
-3.346	-6.060	-5.331	-7.059	24.895	74.723	46.655	73.848
