#T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-1.329	-2.548	-4.391	-2.271	88.697	62.228	202.013	156.491
-1.734	-1.701	-3.146	-2.670	75.394	79.059	166.280	197.310
-1.260	-1.949	-3.039	-2.279	113.602	109.837	221.277	206.962
-3.277	-1.415	-3.162	-4.622	232.299	106.196	216.401	281.676
-3.418	-1.818	-5.270	-4.745	101.378	45.473	107.562	81.801
-3.424	-4.757	-6.189	-4.371	147.977	194.705	28.323	50.997
-3.318	-2.171	-3.018	-4.711	117.098	52.181	113.636	112.950
-1.596	-1.168	-3.399	-1.986	226.992	123.389	55.326	50.359
-4.402	-1.791	-3.317	-5.899	115.316	66.683	210.808	301.378
-1.237	-1.413	-2.789	-2.238	150.213	91.777	149.251	152.351
-1.169	-1.924	-3.317	-2.729	145.704	141.190	138.522	155.626
-9.692	-7.621	-9.050	-10.821	88.542	33.921	43.161	76.403
-4.560	-2.352	-4.190	-5.962	198.841	66.567	135.860	226.100
-3.098	-2.020	-2.941	-4.871	259.114	66.391	131.192	160.369
-2.311	-2.632	-3.493	-4.400	136.090	48.448	51.548	50.754
-1.310	-3.916	-5.534	-3.001	91.058	175.252	309.407	201.670
-0.983	-2.125	-3.267	-2.671	118.016	90.335	132.015	144.190
-0.660	-0.968	-1.562	-1.186	464.503	304.848	97.551	103.060
-6.650	-30.379	-5.989	-8.290	42.177	31.018	63.222	149.219
-6.594	-6.062	-7.432	-7.645	63.134	35.440	178.720	185.528
-3.534	-1.588	-2.843	-4.889	225.647	67.753	50.145	105.788
-4.423	-3.902	-5.954	-5.784	85.519	70.906	197.218	216.906
-5.306	-66.020	-4.988	-6.996	75.133	21.012	117.229	195.835
-3.299	-4.141	-5.121	-4.837	25.653	67.010	48.248	103.447
-2.018	-1.382	-2.243	-3.202	171.412	85.828	45.942	36.499
-1.147	-2.080	-3.710	-2.315	126.074	114.381	169.523	143.445
-3.056	-1.775	-2.855	-4.610	176.205	57.555	78.494	132.497
-2.329	-4.157	-5.515	-3.164	65.499	90.201	288.101	175.711
-3.788	-3.988	-5.296	-4.993	40.888	41.504	189.652	176.284
-1.102	-3.183	-4.967	-2.999	131.636	99.412	43.986	52.568
-4.948	-2.313	-3.783	-6.541	115.504	55.044	85.663	124.085
-3.720	-1.623	-3.355	-4.840	151.627	49.294	48.900	77.207
-1.534	-2.595	-4.635	-3.810	87.679	51.138	255.688	205.498
-0.954	-1.129	-2.580	-2.296	83.117	113.564	74.174	67.716
-3.576	-3.693	-5.316	-4.884	132.133	57.692	214.851	193.150
-3.698	-5.469	-6.862	-5.353	63.226	75.835	48.880	47.668
-4.024	-1.726	-3.828	-5.620	232.274	61.842	46.329	110.190
-2.907	-5.691	-6.988	-4.490	60.668	72.480	94.297	72.998
-2.846	-1.223	-2.673	-4.174	201.316	114.057	136.460	276.325
-28.441	-27.849	-28.704	-29.067	44.818	45.871	52.492	46.776
-6.229	-5.344	-7.313	-7.831	95.221	52.426	106.941	155.648
-5.360	-2.163	-3.948	-6.591	322.985	63.088	208.273	269.493
-1.297	-1.905	-3.065	-2.801	154.216	93.675	194.900	174.031
-0.682	-2.164	-14.830	-12.312	344.214	379.935	279.778	231.155
